Kunnat, Pyhäntä, Pyhännällä
Kunnat, Pyhäranta, Pyhärannassa, Pyhässärannassa
Kunnat, Pälkäne, Pälkäneellä
Kunnat, Pöytyä, Pöytyällä
Kunnat, Raahe, Raahessa
Kunnat, Raasepori, Raaseporissa
Kunnat, Raisio, Raisiossa
Kunnat, Rantasalmi, Rantasalmella
Kunnat, Ranua, Ranualla
Kunnat, Rauma, Raumalla
Kunnat, Rautalampi, Rautalammilla, Rautalampia  
Kunnat, Rautavaara, Rautavaaralla
Kunnat, Rautjärvi, Rautjärvellä
Kunnat, Reisjärvi, Reisjärvellä
Kunnat, Riihimäki, Riihimäellä, Riihimäessä
Kunnat, Ristijärvi, Ristijärvellä
Kunnat, Rovaniemi, Rovaniemellä, Rovaniemessä
Kunnat, Ruokolahti, Ruokolahdella
Kunnat, Ruovesi, Ruovedellä
Kunnat, Rusko, Ruskolla
Kunnat, Rääkkylä, Rääkkylässä
Kunnat, Saarijärvi, Saarijärvellä
Kunnat, Salla, Sallassa
Kunnat, Salo, Salossa
Kunnat, Saltvik, Saltvikissa, Saltvikissä
Kunnat, Sastamala, Sastamalassa
Kunnat, Sauvo, Sauvossa
Kunnat, Savitaipale, Savitaipaleella
Kunnat, Savonlinna, Savonlinnassa
Kunnat, Savukoski, Savukoskella
Kunnat, Seinäjoki, Seinäjoella
Kunnat, Sievi, Sievissä
Kunnat, Siikainen, Siikaisissa
Kunnat, Siikajoki, Siikajoella
Kunnat, Siikalatva, Siikalatvalla
Kunnat, Siilinjärvi, Siilinjärvellä
Kunnat, Simo, Simossa
Kunnat, Sipoo, Sipoossa, Sipooseen
Kunnat, Siuntio, Siuntiossa
Kunnat, Sodankylä, Sodankylässä
Kunnat, Soini, Soinissa
Kunnat, Somero, Somerolla
Kunnat, Sonkajärvi, Sonkajärvellä
Kunnat, Sotkamo, Sotkamossa
Kunnat, Sottunga, Sottungassa
Kunnat, Sulkava, Sulkavalla
Kunnat, Sund, Sundissa
Kunnat, Suomussalmi, Suomussalmella
Kunnat, Suonenjoki, Suonenjoella
Kunnat, Sysmä, Sysmässä
Kunnat, Säkylä, Säkylässä
Kunnat, Taipalsaari, Taipalsaarella
Kunnat, Taivalkoski, Taivalkoskella
Kunnat, Taivassalo, Taivassalossa
Kunnat, Tammela, Tammelassa
Kunnat, Tampere, Tampereella
Kunnat, Tervo, Tervossa
Kunnat, Tervola, Tervolassa
Kunnat, Teuva, Teuvalla
Kunnat, Tohmajärvi, Tohmajärvellä
Kunnat, Toholampi, Toholammilla, Toholampia  
Kunnat, Toivakka, Toivakassa
Kunnat, Tornio, Torniossa
Kunnat, Turku, Turussa
Kunnat, Tuusniemi, Tuusniemellä
Kunnat, Tuusula, Tuusulassa
Kunnat, Tyrnävä, Tyrnävällä
Kunnat, Ulvila, Ulvilassa
Kunnat, Urjala, Urjalassa
Kunnat, Utajärvi, Utajärvellä
Kunnat, Utsjoki, Utsjoella
Kunnat, Uurainen, Uuraisilla
Kunnat, Uusikaarlepyy, Uudessakaarlepyyssä, Uuteenkaarlepyyhyn
Kunnat, Uusikaupunki, Uudessakaupungissa
Kunnat, Vaala, Vaalassa
Kunnat, Vaasa, Vaasassa
Kunnat, Valkeakoski, Valkeakoskella
Kunnat, Valtimo, Valtimolla
Kunnat, Vantaa, Vantaalla
Kunnat, Varkaus, Varkaudessa, Varkautta  
Kunnat, Vehmaa, Vehmaalla
Kunnat, Vesanto, Vesannolla
Kunnat, Vesilahti, Vesilahdessa, Vesilahdella
Kunnat, Veteli, Vetelissä
Kunnat, Vieremä, Vieremällä
Kunnat, Vihti, Vihdissä
Kunnat, Viitasaari, Viitasaarella
Kunnat, Vimpeli, Vimpelissä
Kunnat, Virolahti, Virolahdella, Virolahdessa
Kunnat, Virrat, Virroilla, Virtain  , Virtoja  , Virtaita
Kunnat, Vårdö, Vårdössä, Vårdöhön
Kunnat, Vöyri, Vöyrillä
Kunnat, Ylitornio, Ylitorniolla
Kunnat, Ylivieska, Ylivieskassa
Kunnat, Ylöjärvi, Ylöjärvellä
Kunnat, Ypäjä, Ypäjällä
Kunnat, Ähtäri, Ähtärissä
Kunnat, Äänekoski, Äänekoskella
