Kokonaisluvut,76,seitsemänkymmentäkuusi,seitsemänkymmenenkuuden,seitsemääkymmentäkuutta,seitsemäänkymmeneenkuuteen
Kokonaisluvut,77,seitsemänkymmentäseitsemän,seitsemänkymmenenseitsemän,seitsemääkymmentäseitsemää,seitsemäänkymmeneenseitsemään
Kokonaisluvut,78,seitsemänkymmentäkahdeksan,seitsemänkymmenenkahdeksan,seitsemääkymmentäkahdeksaa,seitsemäänkymmeneenkahdeksaan
Kokonaisluvut,79,seitsemänkymmentäyhdeksän,seitsemänkymmenenyhdeksän,seitsemääkymmentäyhdeksää,seitsemäänkymmeneenyhdeksään
Kokonaisluvut,80,kahdeksankymmentä,kahdeksankymmenen,kahdeksaakymmentä,kahdeksaankymmeneen
Kokonaisluvut,82,kahdeksankymmentäkaksi,kahdeksankymmenenkahden,kahdeksaakymmentäkahta,kahdeksaankymmeneenkahteen
Kokonaisluvut,83,kahdeksankymmentäkolme,kahdeksankymmenenkolmen,kahdeksaakymmentäkolmea,kahdeksaankymmeneenkolmeen
Kokonaisluvut,84,kahdeksankymmentäneljä,kahdeksankymmenenneljän,kahdeksaakymmentäneljää,kahdeksaankymmeneenneljään
Kokonaisluvut,85,kahdeksankymmentäviisi,kahdeksankymmenenviiden,kahdeksaakymmentäviittä,kahdeksaankymmeneenviiteen
Kokonaisluvut,86,kahdeksankymmentäkuusi,kahdeksankymmenenkuuden,kahdeksaakymmentäkuutta,kahdeksaankymmeneenkuuteen
Kokonaisluvut,87,kahdeksankymmentäseitsemän,kahdeksankymmenenseitsemän,kahdeksaakymmentäseitsemää,kahdeksaankymmeneenseitsemään
Kokonaisluvut,88,kahdeksankymmentäkahdeksan,kahdeksankymmenenkahdeksan,kahdeksaakymmentäkahdeksaa,kahdeksaankymmeneenkahdeksaan
Kokonaisluvut,89,kahdeksankymmentäyhdeksän,kahdeksankymmenenyhdeksän,kahdeksaakymmentäyhdeksää,kahdeksaankymmeneenyhdeksään
Kokonaisluvut,90,yhdeksänkymmentä,yhdeksänkymmenen,yhdeksääkymmentä,yhdeksäänkymmeneen
Kokonaisluvut,92,yhdeksänkymmentäkaksi,yhdeksänkymmenenkahden,yhdeksääkymmentäkahta,yhdeksäänkymmeneenkahteen
Kokonaisluvut,93,yhdeksänkymmentäkolme,yhdeksänkymmenenkolmen,yhdeksääkymmentäkolmea,yhdeksäänkymmeneenkolmeen
Kokonaisluvut,94,yhdeksänkymmentäneljä,yhdeksänkymmenenneljän,yhdeksääkymmentäneljää,yhdeksäänkymmeneenneljään
Kokonaisluvut,95,yhdeksänkymmentäviisi,yhdeksänkymmenenviiden,yhdeksääkymmentäviittä,yhdeksäänkymmeneenviiteen
